,id,keywords
0,862,"['toy', 'boy', 'friendship', 'friend']"
1,8844,"[""based on children's book"", 'giant insect']"
2,15602,"['fish', 'best friend']"
3,31357,"['based on novel', 'interracial relationship']"
4,11862,"['daughter', 'mother daughter relationship']"
5,949,"['bank', 'chase', 'thief', 'honor', 'murder', 'heist', 'money', 'gang', 'criminal mastermind', 'cult film', 'ex-con', 'loner', 'neo-noir']"
6,11860,"['brother brother relationship', 'chauffeur']"
7,45325,[]
8,9091,['terrorist']
9,710,"['cuba', 'computer virus', 'kgb']"
10,9087,['widow']
11,12110,"['dracula', 'spoof']"
12,21032,"['wolf', 'alaska', 'dog']"
13,10858,[]
14,1408,"['exotic island', 'map', 'ship']"
15,524,"['poker', '1970s']"
16,4584,"['based on novel', 'servant', 'jane austen', 'period drama']"
17,5,"['hotel', 'witch', 'bet', 'hotel room', 'hoodlum', 'woman director']"
18,9273,"['africa', 'human animal relationship', 'bat']"
19,11517,"['brother brother relationship', 'subway']"
20,8012,"['miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'hollywood', 'gangster', 'crime', 'drug']"
21,1710,['psychologist']
22,9691,"['assassin', 'cia', 'bank', 'cat', 'mexican standoff', 'hitman', 'hidden camera', 'shootout', 'double cross', 'caribbean']"
23,12665,"['shot to death', 'teenage boy', 'teacher student relationship']"
24,451,"['alcohol', 'casino', 'love at first sight', 'hotel room', 'dying and death', 'alcohol']"
25,16420,['friend']
26,9263,"['1970s', 'female friendship', 'woman director']"
27,17015,['captain']
28,902,"['clone', 'dream', 'island', 'dystopia', 'friendship', 'children', 'girl', 'childhood']"
29,37557,"['servant', 'cabaret', 'shanghai', 'diva', 'mistress']"
30,9909,"['high school', 'teacher', 'amusement park']"
31,63,"['schizophrenia', 'philadelphia', 'time travel', 'dystopia', 'lethal virus', 'monkey']"
32,78802,[]
33,9598,"['sheep', 'pig', 'german shepherd']"
34,47018,"['england', 'painter', 'independent film', 'soldier']"
35,687,"['prison', 'rape', 'despair', 'death row', 'therapist', 'court']"
36,139405,[]
37,33689,['orphan']
38,9603,"['high school', 'make a match', 'gay interest', 'conflict', 'woman director']"
39,34615,['south africa']
40,31174,"['england', 'murder', 'king']"
41,11443,['money']
42,35196,"['court', 'wealth']"
43,9312,"['monster', 'island', 'gore', 'tournament', 'hand to hand combat']"
44,577,['winter']
45,11861,"['love', 'family holiday', 'extramarital affair', 'woman director']"
46,807,['insomnia']
47,10530,"['culture clash', 'settler', 'music', 'gold rush', 'princess', 'native american', 'shaman', 'song']"
48,8391,"['professor', 'lgbt', 'woman director']"
49,629,"['law', 'theft', 'criminal mastermind', 'hungarian']"
50,117164,[]
51,11448,"['independent film', 'child']"
52,49133,['independent film']
53,26441,"['sport', 'soccer', 'woman director']"
54,97406,"['alcohol', 'artist', 'music', 'drug', 'band']"
55,124057,[]
56,9089,"['family conflict', 'woman director']"
57,11010,"['island', 'letter', 'postman', 'fisherman', 'poet']"
58,99040,[]
59,11359,"['game', 'puppet', 'parallel world']"
60,17182,"['rape', 'gun']"
61,2054,"['mentor', 'music', 'music']"
62,10607,"['date', 'hip-hop', 'cousin', 'hood', 'gang', 'racism', 'gangster']"
63,19760,"['island', 'thief']"
64,9536,['vegetarian']
65,11525,"['hacker', 'sword fight']"
66,40628,[]
67,4482,"['van', 'woman director']"
68,10634,"['parent child relationship', 'rapper', 'job']"
69,755,"['brother brother relationship', 'showdown', 'sheriff', 'stripper', 'priest', 'preacher', 'crucifix']"
70,11859,"['bomb', 'miami', 'sex', 'based on novel', 'fbi', 'russian', 'kgb', 'chase', 'sadism', 'pizza', 'psychopath', 'car crash', 'on the run', 'shootout', 'gunfight', 'sadist', 'double cross', 'cult film', 'machine gun', 'swat team', 'damsel in distress']"
71,28387,[]
72,48750,"['nun', 'boxer', 'lawyer', 'jewish']"
73,20927,[]
74,36929,[]
75,9102,['alien planet']
76,124626,[]
77,27526,['independent film']
78,9623,"['blackmail', 'son', 'trial', 'courtroom']"
79,46785,"['fish', 'money']"
80,400,"['father son relationship', 'boat', 'coffin', 'paranoia', 'hitman', 'friendship', 'psychopath', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'extramarital affair']"
81,880,"['underdog', 'rape', 'world war ii', 'widow', 'peasant', 'freedom', 'mother daughter relationship', 'woman director']"
82,146599,['african american']
83,188588,[]
84,8447,['scientist']
85,10534,"['teenage boy', 'caribbean', '1960s']"
86,17414,"['boss', 'fistfight']"
87,13997,['woman director']
88,2086,['assassin']
89,61548,[]
90,9095,"['servant', 'monster']"
91,12158,[]
92,9283,['hometown']
93,9208,"['river', 'captain', 'underground', 'mexican standoff', 'pilot', 'fistfight', 'gunfight', 'train', 'desert']"
94,40154,"['play', 'actor']"
95,406,"['neo-nazi', 'skinhead', 'hip-hop', 'gun', 'arabian', 'boredom', 'suburb', 'xenophobia']"
96,45549,[]
97,63076,['hollywood']
98,11062,"['mayor', 'drug']"
99,13685,"['brother brother relationship', 'burglar', 'motel', 'independent film', 'maid', 'theft', 'nervous breakdown']"
100,47475,[]
101,2045,"['wife husband relationship', 'murder']"
102,9614,"['golf', 'sport']"
103,688,"['love at first sight', 'photograph', 'wife husband relationship', 'peasant']"
104,11907,"['voodoo', 'woman director']"
105,10874,"['island', 'puppet', 'treasure hunt']"
106,89333,[]
107,96357,['ex-con']
108,197,"['scotland', 'legend', 'revolt']"
109,103,"['vietnam veteran', 'taxi', 'alien', 'shot to death', 'loner']"
110,33542,"['new york', 'supermarket', 'gang war', 'gang', 'diamond', 'bronx']"
111,43566,[]
112,71754,['mine']
113,43612,"['best friend', 'woman director']"
114,51352,"['fascism', 'auschwitz', 'victim', 'interview', 'rabbit']"
115,16934,"['london england', 'poison', 'murder', 'psychiatrist']"
116,10324,"['love', 'independent film', 'best friend']"
117,78406,"['brother brother relationship', 'lawyer']"
118,55731,"['hawaii', 'australia', 'teacher', 'car']"
119,32119,[]
120,11066,"['role of women', 'success', 'woman']"
121,11104,"['ex-girlfriend', 'girlfriend', 'hong kong']"
122,37975,[]
123,2074,"['lsd', 'independent film']"
124,27793,['magic']
125,44284,['woman director']
126,290157,[]
127,110972,[]
128,32622,"['independent film', 'woman director']"
129,73067,"['boy', 'writer', 'ireland', 'flashback']"
130,11863,"['san francisco', 'murder']"
131,55475,['new york']
132,124636,[]
133,9101,['misfit']
134,123360,[]
135,5757,['independent film']
136,39428,"['southern usa', 'based on novel', 'singer']"
137,124639,[]
138,9302,['skab under tv']
139,11000,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'politician', 'lgbt', '1990s']"
140,249882,"['mountain', 'communism']"
